frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,6.03,2.01,0.00,1.06,blind_forward,1,0,0,0.00,0.00,-0.85,0.00,0.01,1751966748.15,0,0.096,0.028,0.036,0.940
17,0.005,0.004,0.005,0.005,0.004,0.005,0.046,45,56,49,0.00,0.00,0.00,15.05,none,0,0,0,0.00,0.00,-0.84,0.00,0.19,1751966748.16,150,0.101,0.027,0.034,0.066
18,2.060,1.702,2.045,2.055,1.697,2.040,42.719,44,59,47,0.00,0.00,0.00,5.68,none,0,0,0,0.01,0.00,-0.74,-0.00,1.02,1751966748.23,150,0.117,0.025,0.034,0.176
19,3.518,2.696,3.756,1.459,0.994,1.711,69.879,37,57,56,0.00,0.00,0.00,5.54,none,0,0,0,0.05,0.00,-0.55,0.00,1.21,1751966748.40,150,0.121,0.026,0.030,0.180
20,4.055,3.104,4.202,0.537,0.408,0.446,30.056,35,65,44,0.00,0.00,0.00,5.63,none,0,0,0,0.13,0.00,-0.38,-0.00,1.12,1751966748.58,144,0.119,0.024,0.033,0.178
21,4.424,3.271,4.577,0.369,0.166,0.375,13.264,54,50,46,0.00,0.00,0.00,5.71,none,0,0,0,0.27,0.00,-0.24,-0.00,1.16,1751966748.76,150,0.112,0.025,0.034,0.175
22,4.502,3.115,4.597,0.077,-0.155,0.020,19.677,55,49,46,0.00,0.00,0.00,5.41,none,0,0,0,0.45,0.00,-0.15,-0.00,1.27,1751966748.94,150,0.121,0.028,0.030,0.185
23,4.808,3.165,4.890,0.306,0.050,0.292,26.954,57,53,40,0.00,0.00,0.00,6.19,none,0,0,0,0.65,0.00,-0.08,-0.00,1.38,1751966749.12,150,0.099,0.024,0.038,0.162
24,5.107,3.237,5.167,0.299,0.072,0.277,29.865,57,44,49,11.97,4.24,0.00,6.03,none,0,0,1,0.88,0.00,-0.04,-0.00,1.49,1751966749.28,150,0.102,0.024,0.037,0.166
25,5.428,3.393,5.515,0.321,0.156,0.348,33.850,51,43,56,12.37,4.39,0.00,5.86,none,0,0,1,1.13,0.00,-0.00,-0.00,1.59,1751966749.45,150,0.106,0.029,0.032,0.171
26,6.233,3.940,6.447,0.805,0.547,0.933,33.364,56,36,58,12.71,4.52,0.00,5.08,none,0,0,1,1.42,0.00,0.02,-0.00,1.68,1751966749.62,150,0.135,0.024,0.034,0.197
27,6.961,4.626,7.330,0.727,0.686,0.882,36.667,70,21,56,12.97,4.61,0.00,5.76,none,0,0,1,1.71,0.00,0.03,-0.00,1.74,1751966749.82,147,0.114,0.027,0.033,0.174
28,7.141,4.886,7.559,0.181,0.260,0.229,43.655,75,5,68,13.17,4.69,0.00,5.95,none,0,0,1,1.98,0.00,0.04,-0.00,1.79,1751966749.99,148,0.102,0.025,0.034,0.168
29,7.077,5.212,7.471,-0.064,0.325,-0.088,38.100,79,2,68,13.31,4.74,0.00,6.44,resume_reinforce,0,0,1,2.26,0.00,0.04,-0.00,1.83,1751966750.16,149,0.099,0.026,0.025,0.155
30,7.224,5.647,7.667,0.147,0.435,0.195,37.251,72,2,76,13.45,4.79,0.00,5.46,none,0,0,1,2.56,0.00,0.04,-0.00,1.86,1751966750.31,150,0.127,0.024,0.033,0.183
31,7.408,6.497,7.805,0.184,0.850,0.139,31.774,75,2,73,13.55,4.83,0.00,5.96,none,0,0,1,2.86,0.00,0.04,-0.00,1.89,1751966750.50,150,0.103,0.026,0.035,0.168
32,7.799,7.732,8.144,0.391,1.235,0.339,38.206,77,1,72,13.62,4.86,0.00,6.03,none,0,0,1,3.17,0.00,0.03,-0.00,1.91,1751966750.67,150,0.102,0.023,0.037,0.166
33,8.043,9.131,8.322,0.244,1.400,0.178,33.069,73,1,76,13.69,4.88,0.00,5.56,none,0,0,1,3.50,0.00,0.03,-0.00,1.92,1751966750.83,150,0.119,0.025,0.031,0.180
34,8.304,10.904,8.565,0.261,1.772,0.243,38.471,72,1,77,13.73,4.90,0.00,6.47,none,0,0,1,3.79,0.00,0.03,-0.00,1.93,1751966751.01,150,0.104,0.026,0.028,0.155
35,8.477,12.111,8.676,0.173,1.207,0.111,42.340,72,3,75,13.77,4.91,0.00,5.98,none,0,0,1,4.10,0.00,0.02,-0.00,1.94,1751966751.17,150,0.107,0.022,0.031,0.167
36,8.657,11.639,8.836,0.180,-0.472,0.160,47.099,75,3,72,13.80,4.92,0.00,6.50,none,0,0,1,4.38,0.00,0.02,-0.00,1.95,1751966751.33,150,0.096,0.025,0.032,0.154
37,9.016,11.039,9.024,0.359,-0.600,0.187,46.896,80,4,66,13.82,4.93,0.00,5.93,none,0,0,1,4.70,0.00,0.02,-0.00,1.96,1751966751.49,150,0.112,0.025,0.030,0.169
38,9.396,10.332,9.426,0.380,-0.707,0.402,54.695,74,4,72,13.84,4.94,0.00,5.08,none,0,0,1,5.06,0.00,0.02,-0.00,1.96,1751966751.66,150,0.130,0.029,0.031,0.197
39,10.335,9.556,10.526,0.938,-0.776,1.100,102.600,73,6,68,13.86,4.95,0.00,5.98,none,0,0,1,5.37,0.00,0.02,-0.00,1.96,1751966751.85,147,0.109,0.025,0.032,0.167
40,11.612,9.573,11.963,1.277,0.017,1.436,151.666,52,48,48,13.87,4.95,0.00,5.56,none,0,0,1,5.70,0.00,0.01,-0.00,1.97,1751966752.02,148,0.109,0.025,0.042,0.180
41,12.303,9.332,12.377,0.692,-0.240,0.414,80.387,60,17,72,13.88,4.95,0.00,6.55,none,0,0,1,5.99,0.00,0.01,-0.00,1.97,1751966752.20,149,0.100,0.022,0.028,0.153
42,12.736,8.173,12.997,0.432,-1.160,0.620,85.305,56,8,81,13.88,4.96,0.00,6.93,resume_reinforce,0,0,1,6.26,0.00,0.01,-0.00,1.97,1751966752.35,145,0.083,0.025,0.034,0.144
43,13.344,6.848,13.850,0.608,-1.325,0.853,112.292,61,9,76,13.89,4.96,0.00,6.74,none,0,0,1,6.54,0.00,0.01,-0.00,1.97,1751966752.50,146,0.093,0.023,0.029,0.148
