frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,6.02,2.01,0.00,0.99,blind_forward,1,0,0,0.00,0.00,-0.84,0.00,0.01,1751973287.32,0,0.129,0.024,0.035,1.015
18,0.022,0.014,0.019,0.022,0.014,0.019,0.465,42,59,49,0.00,0.00,0.00,15.76,none,0,0,0,0.00,-0.00,-0.84,-0.00,0.19,1751973287.34,150,0.099,0.025,0.038,0.063
19,1.966,2.505,2.555,1.944,2.491,2.536,42.489,42,57,51,0.00,0.00,0.00,5.50,none,0,0,0,0.01,-0.00,-0.73,-0.00,1.04,1751973287.40,150,0.112,0.026,0.044,0.182
20,3.655,4.414,4.512,1.688,1.909,1.957,60.148,37,57,56,0.00,0.00,0.00,5.35,none,0,0,0,0.05,-0.00,-0.52,-0.00,1.19,1751973287.58,150,0.118,0.028,0.034,0.187
21,3.943,4.275,4.722,0.288,-0.139,0.210,23.129,37,65,44,0.00,0.00,0.00,5.29,none,0,0,0,0.16,-0.00,-0.35,-0.00,1.12,1751973287.77,146,0.123,0.027,0.036,0.189
22,4.201,4.081,4.840,0.258,-0.195,0.118,11.327,44,62,44,0.00,0.00,0.00,5.37,none,0,0,0,0.31,-0.00,-0.22,-0.00,1.18,1751973287.96,150,0.115,0.028,0.039,0.186
23,4.352,3.869,4.908,0.151,-0.212,0.068,21.032,51,54,45,0.00,0.00,0.00,5.81,none,0,0,0,0.50,-0.00,-0.13,0.00,1.30,1751973288.15,150,0.114,0.025,0.032,0.172
24,4.733,3.859,5.214,0.381,-0.010,0.305,26.252,50,55,45,0.00,0.00,0.00,5.71,none,0,0,0,0.72,-0.00,-0.07,0.00,1.42,1751973288.32,150,0.105,0.026,0.040,0.175
25,5.167,3.921,5.555,0.434,0.062,0.341,30.459,54,45,51,12.16,4.31,0.00,5.00,none,0,0,1,0.99,-0.00,-0.02,0.00,1.54,1751973288.49,150,0.122,0.026,0.044,0.200
26,5.382,4.066,5.922,0.216,0.144,0.367,29.278,61,31,58,12.60,4.47,0.00,4.32,none,0,0,1,1.32,-0.00,0.01,0.00,1.65,1751973288.69,150,0.147,0.024,0.062,0.231
27,6.244,4.847,6.916,0.862,0.781,0.994,35.159,61,27,62,12.90,4.59,0.00,4.77,none,0,0,1,1.62,-0.00,0.03,0.00,1.73,1751973288.92,150,0.149,0.024,0.034,0.210
28,7.028,5.587,7.929,0.784,0.740,1.013,48.475,77,8,65,13.13,4.67,0.00,5.41,none,0,0,1,1.93,-0.00,0.03,0.00,1.78,1751973289.13,150,0.122,0.025,0.033,0.185
29,7.183,5.806,7.930,0.156,0.219,0.001,28.911,76,2,68,13.31,4.74,0.00,5.57,none,0,0,1,2.23,-0.00,0.04,0.00,1.83,1751973289.32,146,0.125,0.024,0.031,0.180
30,7.104,5.902,7.704,-0.079,0.096,-0.226,31.420,78,2,70,13.23,4.71,0.00,5.79,resume_reinforce,0,0,1,2.53,-0.00,0.04,0.00,1.81,1751973289.50,150,0.106,0.023,0.041,0.173
31,7.407,6.433,7.836,0.303,0.531,0.132,26.587,67,2,76,12.81,4.55,0.00,5.95,none,0,0,1,2.80,-0.00,0.02,-0.00,1.70,1751973289.67,145,0.106,0.026,0.033,0.168
