frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,6.03,2.01,0.00,0.95,blind_forward,1,0,0,0.00,0.00,-0.85,0.00,0.01,1751959601.54,0,0.075,0.020,0.020,1.055
19,0.028,0.022,0.029,0.028,0.022,0.029,0.694,43,58,49,0.00,0.00,0.00,11.87,none,0,0,0,0.00,0.00,-0.83,-0.00,0.33,1751959601.55,150,0.070,0.023,0.023,0.084
20,2.603,1.883,2.436,2.575,1.861,2.408,64.689,42,58,50,0.00,0.00,0.00,8.94,none,0,0,0,0.01,0.00,-0.77,-0.00,0.88,1751959601.63,150,0.070,0.019,0.020,0.112
21,3.710,2.989,4.217,1.107,1.107,1.780,88.871,34,59,54,0.00,0.00,0.00,8.46,none,0,0,0,0.02,0.00,-0.64,0.00,1.24,1751959601.74,147,0.069,0.020,0.023,0.118
22,4.231,3.384,4.648,0.521,0.395,0.431,49.343,30,62,56,0.00,0.00,0.00,8.70,none,0,0,0,0.06,0.00,-0.50,0.00,1.18,1751959601.86,148,0.079,0.020,0.020,0.115
23,4.673,3.658,4.945,0.442,0.274,0.296,36.228,46,52,52,0.00,0.00,0.00,7.96,none,0,0,0,0.13,0.00,-0.38,0.00,1.12,1751959601.97,150,0.078,0.024,0.020,0.126
24,4.603,3.502,4.829,-0.070,-0.156,-0.116,13.530,52,53,45,0.00,0.00,0.00,8.96,none,0,0,0,0.21,0.00,-0.29,0.00,1.14,1751959602.10,150,0.068,0.019,0.023,0.112
25,4.411,3.227,4.592,-0.192,-0.274,-0.237,18.070,47,58,45,0.00,0.00,0.00,8.51,none,0,0,0,0.32,0.00,-0.21,0.00,1.19,1751959602.21,150,0.077,0.019,0.020,0.117
