frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,6.03,2.01,0.00,0.95,blind_forward,1,0,0,0.00,0.00,-0.85,0.00,0.01,1751996209.22,0,0.089,0.026,0.028,1.057
19,0.015,0.009,0.015,0.015,0.009,0.015,0.511,43,58,49,0.00,0.00,0.00,15.65,none,0,0,0,0.00,-0.00,-0.84,-0.00,0.18,1751996209.23,150,0.095,0.023,0.035,0.064
20,1.578,1.635,1.864,1.563,1.625,1.849,44.528,42,58,50,0.00,0.00,0.00,6.31,none,0,0,0,0.01,0.00,-0.76,0.00,0.92,1751996209.30,150,0.104,0.027,0.031,0.159
21,3.234,3.236,3.821,1.656,1.601,1.957,70.980,33,55,62,0.00,0.00,0.00,5.67,none,0,0,0,0.04,0.00,-0.57,0.00,1.22,1751996209.45,150,0.107,0.027,0.036,0.176
22,3.348,3.107,3.742,0.115,-0.128,-0.079,23.844,31,68,49,0.00,0.00,0.00,5.92,none,0,0,0,0.12,0.00,-0.39,0.00,1.13,1751996209.63,148,0.108,0.029,0.033,0.169
23,3.958,3.421,4.293,0.609,0.313,0.551,17.092,52,54,43,0.00,0.00,0.00,6.10,none,0,0,0,0.24,0.00,-0.27,0.00,1.15,1751996209.80,149,0.110,0.022,0.028,0.164
24,3.973,3.178,4.282,0.016,-0.243,-0.011,18.877,55,59,36,0.00,0.00,0.00,6.17,none,0,0,0,0.40,0.00,-0.17,0.00,1.23,1751996209.96,150,0.098,0.029,0.033,0.162
25,4.271,3.164,4.499,0.298,-0.014,0.217,28.500,54,54,42,0.00,0.00,0.00,6.35,none,0,0,0,0.58,0.00,-0.10,-0.00,1.34,1751996210.13,150,0.102,0.024,0.031,0.157
26,4.575,3.230,4.764,0.304,0.066,0.265,28.519,51,46,53,11.79,4.17,0.00,6.40,none,0,0,1,0.78,0.00,-0.05,-0.00,1.45,1751996210.28,150,0.096,0.025,0.029,0.156
27,4.923,3.316,5.093,0.348,0.085,0.329,32.945,60,40,50,12.21,4.33,0.00,6.00,none,0,0,1,1.03,0.00,-0.01,-0.00,1.55,1751996210.44,150,0.108,0.028,0.030,0.167
28,5.720,3.844,5.980,0.797,0.528,0.886,40.742,57,37,56,12.55,4.45,0.00,6.15,none,0,0,1,1.27,0.00,0.01,-0.00,1.64,1751996210.61,150,0.105,0.024,0.031,0.162
29,6.442,4.395,6.876,0.723,0.552,0.896,38.385,65,22,63,12.83,4.56,0.00,5.96,none,0,0,1,1.54,0.00,0.02,-0.00,1.71,1751996210.77,150,0.111,0.025,0.030,0.168
