timestamp,slam_x,slam_y,slam_z,gt_x,gt_y,gt_z
1752238567.0922306,0.0,0.0,0.0,0.0,0.0,0.6526411175727844
1752238567.1548462,5.955507162980211e-07,-3.2194685672948253e-07,-2.1505006770894397e-06,0.0,0.0,0.6526411175727844
1752238567.21522,4.724304858427786e-07,-3.5028145362048235e-07,-9.106159382099577e-07,0.0,0.0,0.6526411175727844
1752238567.2774646,2.7968337690253975e-07,-3.2003978844841185e-07,-8.387732464143483e-07,0.0,0.0,0.6526411175727844
1752238567.3406806,4.046916899369535e-07,-3.834238668787293e-07,-1.058862721947662e-06,0.0,0.0,0.6526411175727844
1752238567.405031,4.046916899369535e-07,-3.834238668787293e-07,-1.058862721947662e-06,0.0,0.0,0.6526411175727844
1752238567.4649334,6.013793267811707e-07,-5.203443151913234e-07,-1.4849347280687653e-06,0.0,0.0,0.6526411175727844
1752238567.5281327,5.969033622932329e-07,-5.236505558059434e-07,-1.5027020481284126e-06,0.0,0.0,0.6526411175727844
1752238567.591117,5.969033622932329e-07,-5.236505558059434e-07,-1.5027020481284126e-06,0.0,0.0,0.6526411175727844
1752238567.653106,5.912019673814939e-07,-5.281061135065102e-07,-1.5275554687832482e-06,0.0,0.0,0.6526411175727844
1752238567.7148604,5.912019673814939e-07,-5.281061135065102e-07,-1.5275554687832482e-06,0.0,0.0,0.6526411175727844
1752238567.7785325,5.912606297897582e-07,-5.281552262204059e-07,-1.5274856650648871e-06,0.0,0.0,0.6526411175727844
1752238567.8399732,5.912606297897582e-07,-5.281552262204059e-07,-1.5274856650648871e-06,0.0,0.0,0.6526411175727844
1752238567.903702,5.912835376875591e-07,-5.281553967506625e-07,-1.5274863471859135e-06,0.0,0.0,0.6526411175727844
1752238567.9634268,5.9126153928446e-07,-5.281549420033116e-07,-1.5275134046532912e-06,0.0,0.0,0.6526411175727844
1752238568.0240397,5.9126153928446e-07,-5.281549420033116e-07,-1.5275134046532912e-06,0.0,0.0,0.6526411175727844
1752238568.0875053,5.9126153928446e-07,-5.281548851598927e-07,-1.5275134046532912e-06,0.0,0.0,0.6526411175727844
1752238568.1532853,5.9126153928446e-07,-5.281548851598927e-07,-1.5275134046532912e-06,0.0,0.0,0.6526411175727844
1752238568.2132676,5.912614255976223e-07,-5.28154771473055e-07,-1.5275131772796158e-06,0.0,0.0,0.6526411175727844
